X	Y	Shorten_num	Lengthen_num	Others
BRCA	CSTF2	1479	76	8716
BRCA	CSTF1	606	39	9626
CESC	BRAF	1635	389	5322
CESC	PABPN1	216	1123	6007
CESC	CPSF6	1639	379	5328
CESC	PPP1CB	130	126	7090
CESC	RBBP6	1531	338	5477
CESC	CPSF3	39	33	7274
CESC	PPP1CA	269	846	6231
CESC	PCF11	563	160	6623
CESC	NUDT21	1353	327	5666
CESC	PABPC1	32	7	7307
CESC	CSTF3
CESC	CPSF7	371	157	6818
CESC	CPSF4	42	186	7118
CESC	PAPOLG	1552	393	5401
CESC	CPSF1	31	48	7267
CESC	PABPC4	82	13	7251
CESC	WDR33	17	7	7322
CESC	SYMPK	75	160	7111
CESC	CSTF2T	107	32	7207
CESC	FIP1L1	249	239	6858
CESC	CPSF2	1301	229	5816
CESC	CSTF2	1222	122	6002
CESC	CSTF1	40	41	7265
CHOL	BRAF	232	19	8144
CHOL	PABPN1	19	412	7964
CHOL	CPSF6
CHOL	PPP1CB	54	8	8333
CHOL	RBBP6	339	111	7945
CHOL	CPSF3
CHOL	PPP1CA	107	870	7418
CHOL	PCF11	430	40	7925
CHOL	NUDT21	211	92	8092
CHOL	PABPC1	77	14	8304
CHOL	CSTF3
CHOL	CPSF7
CHOL	CPSF4	40	223	8132
CHOL	PAPOLG	306	35	8054
CHOL	CPSF1	3	11	8381
CHOL	PABPC4	8	19	8368
CHOL	WDR33
CHOL	SYMPK	21	21	8353
CHOL	CSTF2T	520	59	7816
CHOL	FIP1L1
CHOL	CPSF2	181	18	8196
CHOL	CSTF2	31	7	8357
CHOL	CSTF1
COAD	BRAF	268	138	7286
COAD	PABPN1	120	1479	6093
COAD	CPSF6	138	45	7509
COAD	PPP1CB	177	139	7376
COAD	RBBP6	34	390	7268
COAD	CPSF3	35	80	7577
COAD	PPP1CA	226	235	7231
COAD	PCF11	252	116	7324
COAD	NUDT21	388	105	7199
COAD	PABPC1	13	13	7666
COAD	CSTF3	5	32	7655
COAD	CPSF7	428	9	7255
COAD	CPSF4	62	21	7609
COAD	PAPOLG	278	186	7228
COAD	CPSF1	112	74	7506
COAD	PABPC4	83	28	7581
COAD	WDR33	150	45	7497
COAD	SYMPK	277	21	7394
COAD	CSTF2T	386	19	7287
COAD	FIP1L1	33	99	7560
COAD	CPSF2	326	245	7121
COAD	CSTF2	66	3	7623
COAD	CSTF1	8	105	7579
DLBC	BRAF	1257	508	6314
DLBC	PABPN1	70	744	7265
DLBC	CPSF6	1504	430	6145
DLBC	PPP1CB	242	71	7766
DLBC	RBBP6	1148	446	6485
DLBC	CPSF3	432	665	6982
DLBC	PPP1CA	334	811	6934
DLBC	PCF11	1395	500	6184
DLBC	NUDT21	479	108	7492
DLBC	PABPC1	192	246	7641
DLBC	CSTF3	58	64	7957
DLBC	CPSF7	1070	411	6598
DLBC	CPSF4	267	1159	6653
DLBC	PAPOLG	1298	418	6363
DLBC	CPSF1	65	25	7989
DLBC	PABPC4	464	275	7340
DLBC	WDR33
DLBC	SYMPK	97	212	7770
DLBC	CSTF2T	1815	490	5774
DLBC	FIP1L1	1186	227	6666
DLBC	CPSF2	1240	393	6446
DLBC	CSTF2	119	2	7958
DLBC	CSTF1
ESCA	BRAF	41	176	7240
ESCA	PABPN1	119	1929	5409
ESCA	CPSF6	107	266	7084
ESCA	PPP1CB	27	55	7375
ESCA	RBBP6	10	787	6660
ESCA	CPSF3	32	30	7395
ESCA	PPP1CA	59	15	7383
ESCA	PCF11	19	240	7198
ESCA	NUDT21	12	91	7354
ESCA	PABPC1	110	25	7322
ESCA	CSTF3	9	278	7170
ESCA	CPSF7	97	87	7273
ESCA	CPSF4	17	9	7431
ESCA	PAPOLG	39	265	7153
ESCA	CPSF1	250	8	7199
ESCA	PABPC4	60	126	7271
ESCA	WDR33	14	143	7300
ESCA	SYMPK	267	43	7147
ESCA	CSTF2T	43	17	7397
ESCA	FIP1L1	26	24	7407
ESCA	CPSF2	168	122	7167
ESCA	CSTF2	160	12	7285
ESCA	CSTF1	101	117	7239
GBM	BRAF	461	385	10001
GBM	PABPN1	12	217	10618
GBM	CPSF6	75	340	10432
GBM	PPP1CB	169	138	10540
GBM	RBBP6	302	254	10291
GBM	CPSF3	25	20	10802
GBM	PPP1CA	364	510	9973
GBM	PCF11	294	296	10257
GBM	NUDT21	127	91	10629
GBM	PABPC1	25	33	10789
GBM	CSTF3	20	57	10770
GBM	CPSF7	96	134	10617
GBM	CPSF4	15	93	10739
GBM	PAPOLG	57	12	10778
GBM	CPSF1	411	188	10248
GBM	PABPC4	545	81	10221
GBM	WDR33	70	88	10689
GBM	SYMPK	1137	268	9442
GBM	CSTF2T	656	102	10089
GBM	FIP1L1	183	49	10615
GBM	CPSF2	177	72	10598
GBM	CSTF2	1392	37	9418
GBM	CSTF1	26	22	10799
HNSC	BRAF	2306	528	6380
HNSC	PABPN1	310	3449	5455
HNSC	CPSF6	1522	741	6951
HNSC	PPP1CB	1373	286	7555
HNSC	RBBP6	564	502	8148
HNSC	CPSF3	17	49	9148
HNSC	PPP1CA	343	257	8614
HNSC	PCF11	1733	631	6850
HNSC	NUDT21	831	152	8231
HNSC	PABPC1	176	77	8961
HNSC	CSTF3	16	1192	8006
HNSC	CPSF7	2144	531	6539
HNSC	CPSF4	45	466	8703
HNSC	PAPOLG	2718	745	5751
HNSC	CPSF1	81	317	8816
HNSC	PABPC4	13	81	9120
HNSC	WDR33	16	95	9103
HNSC	SYMPK	275	1751	7188
HNSC	CSTF2T	1640	452	7122
HNSC	FIP1L1	239	265	8710
HNSC	CPSF2	2266	139	6809
HNSC	CSTF2	358	27	8829
HNSC	CSTF1	12	68	9134
KICH	BRAF	941	56	8407
KICH	PABPN1	91	1655	7658
KICH	CPSF6
KICH	PPP1CB	724	42	8638
KICH	RBBP6	47	21	9336
KICH	CPSF3	17	13	9374
KICH	PPP1CA	62	1496	7846
KICH	PCF11	37	37	9330
KICH	NUDT21	686	114	8604
KICH	PABPC1	217	13	9174
KICH	CSTF3
KICH	CPSF7	3	51	9350
KICH	CPSF4	18	72	9314
KICH	PAPOLG	357	32	9015
KICH	CPSF1	8	54	9342
KICH	PABPC4	22	101	9281
KICH	WDR33
KICH	SYMPK	3	39	9362
KICH	CSTF2T	1023	61	8320
KICH	FIP1L1	1974	99	7331
KICH	CPSF2	535	20	8849
KICH	CSTF2	842	43	8519
KICH	CSTF1	19	24	9361
KIRC	BRAF	2481	504	6200
KIRC	PABPN1	360	2339	6486
KIRC	CPSF6	354	370	8461
KIRC	PPP1CB	287	608	8290
KIRC	RBBP6	12	454	8719
KIRC	CPSF3	142	122	8921
KIRC	PPP1CA	442	952	7791
KIRC	PCF11	334	177	8674
KIRC	NUDT21	2061	530	6594
KIRC	PABPC1	119	33	9033
KIRC	CSTF3	25	1045	8115
KIRC	CPSF7	112	167	8906
KIRC	CPSF4	301	168	8716
KIRC	PAPOLG	1280	344	7561
KIRC	CPSF1	320	644	8221
KIRC	PABPC4	25	34	9126
KIRC	WDR33	111	125	8949
KIRC	SYMPK	263	365	8557
KIRC	CSTF2T	2025	404	6756
KIRC	FIP1L1	2556	236	6393
KIRC	CPSF2	848	178	8159
KIRC	CSTF2	1698	58	7429
KIRC	CSTF1	407	88	8690
KIRP	BRAF	1537	531	7210
KIRP	PABPN1	346	3194	5738
KIRP	CPSF6	2530	556	6192
KIRP	PPP1CB	2453	326	6499
KIRP	RBBP6	56	311	8911
KIRP	CPSF3	163	59	9056
KIRP	PPP1CA	525	2300	6453
KIRP	PCF11	31	208	9039
KIRP	NUDT21	3077	360	5841
KIRP	PABPC1	1389	109	7780
KIRP	CSTF3	28	775	8475
KIRP	CPSF7	406	273	8599
KIRP	CPSF4	166	1679	7433
KIRP	PAPOLG	1732	346	7200
KIRP	CPSF1	62	543	8673
KIRP	PABPC4	142	49	9087
KIRP	WDR33	3	309	8966
KIRP	SYMPK	297	1501	7480
KIRP	CSTF2T	2521	515	6242
KIRP	FIP1L1	2485	356	6437
KIRP	CPSF2	2223	186	6869
KIRP	CSTF2	2664	170	6444
KIRP	CSTF1	622	19	8637
LAML	BRAF	311	407	6501
LAML	PABPN1	77	726	6416
LAML	CPSF6	996	228	5995
LAML	PPP1CB	303	1128	5788
LAML	RBBP6	284	307	6628
LAML	CPSF3	332	468	6419
LAML	PPP1CA	1733	313	5173
LAML	PCF11	121	61	7037
LAML	NUDT21	393	191	6635
LAML	PABPC1	99	111	7009
LAML	CSTF3	101	156	6962
LAML	CPSF7	1859	127	5233
LAML	CPSF4	112	166	6941
LAML	PAPOLG	514	643	6062
LAML	CPSF1	1842	338	5039
LAML	PABPC4	95	44	7080
LAML	WDR33	662	243	6314
LAML	SYMPK	1979	225	5015
LAML	CSTF2T	571	191	6457
LAML	FIP1L1	1328	128	5763
LAML	CPSF2	509	439	6271
LAML	CSTF2	1561	60	5598
LAML	CSTF1	224	94	6901
LGG	BRAF	2630	561	6891
LGG	PABPN1	132	2204	7746
LGG	CPSF6	1681	313	8088
LGG	PPP1CB	247	79	9756
LGG	RBBP6	2945	421	6716
LGG	CPSF3	185	84	9813
LGG	PPP1CA	440	1781	7861
LGG	PCF11	1905	452	7725
LGG	NUDT21	2283	417	7382
LGG	PABPC1	280	42	9760
LGG	CSTF3	60	311	9711
LGG	CPSF7	1504	200	8378
LGG	CPSF4	235	287	9560
LGG	PAPOLG	1587	189	8306
LGG	CPSF1	159	192	9731
LGG	PABPC4	152	65	9865
LGG	WDR33	264	61	9757
LGG	SYMPK	90	285	9707
LGG	CSTF2T	855	243	8984
LGG	FIP1L1
LGG	CPSF2	1359	158	8565
LGG	CSTF2	2090	111	7881
LGG	CSTF1	394	10	9678
LIHC	BRAF	1524	337	5654
LIHC	PABPN1	212	1420	5883
LIHC	CPSF6	1421	335	5759
LIHC	PPP1CB	886	314	6315
LIHC	RBBP6	1783	376	5356
LIHC	CPSF3	180	43	7292
LIHC	PPP1CA	226	222	7067
LIHC	PCF11	1371	445	5699
LIHC	NUDT21	1225	282	6008
LIHC	PABPC1	23	17	7475
LIHC	CSTF3	20	113	7382
LIHC	CPSF7	1578	408	5529
LIHC	CPSF4	285	373	6857
LIHC	PAPOLG	2036	576	4903
LIHC	CPSF1	48	36	7431
LIHC	PABPC4	29	60	7426
LIHC	WDR33	30	96	7389
LIHC	SYMPK	259	1040	6216
LIHC	CSTF2T	893	367	6255
LIHC	FIP1L1	1182	246	6087
LIHC	CPSF2	1346	114	6055
LIHC	CSTF2	1577	308	5630
LIHC	CSTF1	28	26	7461
LUAD	BRAF	360	426	8592
LUAD	PABPN1	83	782	8513
LUAD	CPSF6	66	171	9141
LUAD	PPP1CB	626	68	8684
LUAD	RBBP6	100	268	9010
LUAD	CPSF3	276	17	9085
LUAD	PPP1CA	277	182	8919
LUAD	PCF11	125	314	8939
LUAD	NUDT21	557	49	8772
LUAD	PABPC1	10	95	9273
LUAD	CSTF3	105	21	9252
LUAD	CPSF7	549	151	8678
LUAD	CPSF4	52	13	9313
LUAD	PAPOLG	946	314	8118
LUAD	CPSF1	173	197	9008
LUAD	PABPC4	8	285	9085
LUAD	WDR33	3	206	9169
LUAD	SYMPK	140	150	9088
LUAD	CSTF2T	31	23	9324
LUAD	FIP1L1	832	43	8503
LUAD	CPSF2	390	52	8936
LUAD	CSTF2	456	8	8914
LUAD	CSTF1	143	13	9222
LUSC	BRAF	48	79	9787
LUSC	PABPN1	116	790	9008
LUSC	CPSF6	54	125	9735
LUSC	PPP1CB	111	106	9697
LUSC	RBBP6	160	212	9542
LUSC	CPSF3	263	6	9645
LUSC	PPP1CA	216	95	9603
LUSC	PCF11	15	268	9631
LUSC	NUDT21	61	27	9826
LUSC	PABPC1	622	10	9282
LUSC	CSTF3	26	30	9858
LUSC	CPSF7	231	169	9514
LUSC	CPSF4	177	60	9677
LUSC	PAPOLG	40	22	9852
LUSC	CPSF1	687	153	9074
LUSC	PABPC4
LUSC	WDR33	42	145	9727
LUSC	SYMPK	493	111	9310
LUSC	CSTF2T	351	16	9547
LUSC	FIP1L1	47	47	9820
LUSC	CPSF2	257	3	9654
LUSC	CSTF2	1392	5	8517
LUSC	CSTF1	11	31	9872
MESO	BRAF	400	149	8572
MESO	PABPN1	306	1761	7054
MESO	CPSF6	516	169	8436
MESO	PPP1CB	118	65	8938
MESO	RBBP6	1162	412	7547
MESO	CPSF3	51	12	9058
MESO	PPP1CA	152	237	8732
MESO	PCF11	269	295	8557
MESO	NUDT21	803	189	8129
MESO	PABPC1	177	41	8903
MESO	CSTF3	9	14	9098
MESO	CPSF7	1621	198	7302
MESO	CPSF4	79	87	8955
MESO	PAPOLG	441	164	8516
MESO	CPSF1	97	55	8969
MESO	PABPC4	6	14	9101
MESO	WDR33
MESO	SYMPK	130	115	8876
MESO	CSTF2T	809	254	8058
MESO	FIP1L1	62	6	9053
MESO	CPSF2	467	22	8632
MESO	CSTF2	425	8	8688
MESO	CSTF1
OV	BRAF	167	228	10870
OV	PABPN1	30	229	11006
OV	CPSF6	81	313	10871
OV	PPP1CB	18	135	11112
OV	RBBP6	253	439	10573
OV	CPSF3	387	32	10846
OV	PPP1CA	555	31	10679
OV	PCF11	80	95	11090
OV	NUDT21	773	78	10414
OV	PABPC1	24	38	11203
OV	CSTF3	93	75	11097
OV	CPSF7	1271	417	9577
OV	CPSF4	15	66	11184
OV	PAPOLG	1012	152	10101
OV	CPSF1	44	121	11100
OV	PABPC4	103	79	11083
OV	WDR33	69	70	11126
OV	SYMPK	258	264	10743
OV	CSTF2T	1051	401	9813
OV	FIP1L1	616	89	10560
OV	CPSF2	906	129	10230
OV	CSTF2	163	26	11076
OV	CSTF1	10	64	11191
PAAD	BRAF	1754	476	7324
PAAD	PABPN1	134	1791	7629
PAAD	CPSF6	192	71	9291
PAAD	PPP1CB	187	61	9306
PAAD	RBBP6	798	321	8435
PAAD	CPSF3	245	64	9245
PAAD	PPP1CA	581	498	8475
PAAD	PCF11	41	194	9319
PAAD	NUDT21	776	44	8734
PAAD	PABPC1	559	29	8966
PAAD	CSTF3	8	176	9370
PAAD	CPSF7	295	130	9129
PAAD	CPSF4	47	704	8803
PAAD	PAPOLG	1545	215	7794
PAAD	CPSF1	254	547	8753
PAAD	PABPC4	400	14	9140
PAAD	WDR33
PAAD	SYMPK	37	282	9235
PAAD	CSTF2T	286	155	9113
PAAD	FIP1L1	217	13	9324
PAAD	CPSF2	571	72	8911
PAAD	CSTF2	563	16	8975
PAAD	CSTF1	12	44	9498
PCPG	BRAF	1505	304	6998
PCPG	PABPN1	407	2793	5607
PCPG	CPSF6	2268	431	6108
PCPG	PPP1CB	20	9	8778
PCPG	RBBP6	23	127	8657
PCPG	CPSF3	7	62	8738
PCPG	PPP1CA	229	654	7924
PCPG	PCF11	127	44	8636
PCPG	NUDT21	1734	268	6805
PCPG	PABPC1	774	104	7929
PCPG	CSTF3	20	460	8327
PCPG	CPSF7	45	16	8746
PCPG	CPSF4	60	997	7750
PCPG	PAPOLG	172	129	8506
PCPG	CPSF1	13	18	8776
PCPG	PABPC4	33	14	8760
PCPG	WDR33
PCPG	SYMPK	123	1021	7663
PCPG	CSTF2T	2186	322	6299
PCPG	FIP1L1	2653	343	5811
PCPG	CPSF2	1927	228	6652
PCPG	CSTF2	2329	319	6159
PCPG	CSTF1	329	233	8245
PRAD	BRAF	1827	449	7247
PRAD	PABPN1	410	2420	6693
PRAD	CPSF6	2127	552	6844
PRAD	PPP1CB	612	723	8188
PRAD	RBBP6	2658	467	6398
PRAD	CPSF3	122	33	9368
PRAD	PPP1CA	431	1050	8042
PRAD	PCF11	2583	396	6544
PRAD	NUDT21	2212	510	6801
PRAD	PABPC1	288	83	9152
PRAD	CSTF3	10	32	9481
PRAD	CPSF7	1845	324	7354
PRAD	CPSF4	326	1552	7645
PRAD	PAPOLG	2356	576	6591
PRAD	CPSF1	409	355	8759
PRAD	PABPC4	20	117	9386
PRAD	WDR33	258	32	9233
PRAD	SYMPK	356	975	8192
PRAD	CSTF2T	2147	369	7007
PRAD	FIP1L1	2330	342	6851
PRAD	CPSF2	1797	416	7310
PRAD	CSTF2	1693	184	7646
PRAD	CSTF1	233	11	9279
SARC	BRAF	2346	595	5923
SARC	PABPN1	535	1211	7118
SARC	CPSF6	1695	740	6429
SARC	PPP1CB	344	505	8015
SARC	RBBP6	2322	501	6041
SARC	CPSF3	550	24	8290
SARC	PPP1CA	787	1605	6472
SARC	PCF11	1967	555	6342
SARC	NUDT21	2001	567	6296
SARC	PABPC1	176	65	8623
SARC	CSTF3	55	20	8789
SARC	CPSF7	2445	403	6016
SARC	CPSF4	305	645	7914
SARC	PAPOLG	2370	691	5803
SARC	CPSF1	200	7	8657
SARC	PABPC4	72	16	8776
SARC	WDR33	189	31	8644
SARC	SYMPK	301	511	8052
SARC	CSTF2T	1335	141	7388
SARC	FIP1L1	128	8	8728
SARC	CPSF2	848	24	7992
SARC	CSTF2	848	11	8005
SARC	CSTF1	131	5	8728
SKCM	BRAF	596	391	8388
SKCM	PABPN1	229	3436	5710
SKCM	CPSF6	1227	446	7702
SKCM	PPP1CB	99	437	8839
SKCM	RBBP6	458	380	8537
SKCM	CPSF3	64	92	9219
SKCM	PPP1CA	181	766	8428
SKCM	PCF11	113	470	8792
SKCM	NUDT21	243	516	8616
SKCM	PABPC1	31	332	9012
SKCM	CSTF3	36	261	9078
SKCM	CPSF7	65	16	9294
SKCM	CPSF4	152	277	8946
SKCM	PAPOLG	295	520	8560
SKCM	CPSF1	316	447	8612
SKCM	PABPC4	106	60	9209
SKCM	WDR33	4	160	9211
SKCM	SYMPK	438	126	8811
SKCM	CSTF2T	2023	389	6963
SKCM	FIP1L1	1209	449	7717
SKCM	CPSF2	460	218	8697
SKCM	CSTF2	558	53	8764
SKCM	CSTF1	17	121	9237
STAD	BRAF	856	326	10021
STAD	PABPN1	497	3283	7423
STAD	CPSF6	290	1300	9613
STAD	PPP1CB	165	1841	9197
STAD	RBBP6	133	1487	9583
STAD	CPSF3	235	1325	9643
STAD	PPP1CA	653	264	10286
STAD	PCF11	502	512	10189
STAD	NUDT21	377	1860	8966
STAD	PABPC1	19	384	10800
STAD	CSTF3	304	1865	9034
STAD	CPSF7	794	45	10364
STAD	CPSF4	515	694	9994
STAD	PAPOLG	357	1279	9567
STAD	CPSF1	282	856	10065
STAD	PABPC4	146	477	10580
STAD	WDR33	254	88	10861
STAD	SYMPK	153	179	10871
STAD	CSTF2T	400	40	10763
STAD	FIP1L1	344	246	10613
STAD	CPSF2	535	403	10265
STAD	CSTF2	732	51	10420
STAD	CSTF1	141	670	10392
TGCT	BRAF	1509	350	7280
TGCT	PABPN1	480	1431	7228
TGCT	CPSF6	1225	95	7819
TGCT	PPP1CB	228	94	8817
TGCT	RBBP6	2064	147	6928
TGCT	CPSF3	429	23	8687
TGCT	PPP1CA	479	363	8297
TGCT	PCF11	1943	249	6947
TGCT	NUDT21	1797	104	7238
TGCT	PABPC1	1412	66	7661
TGCT	CSTF3	527	215	8397
TGCT	CPSF7	1755	94	7290
TGCT	CPSF4	430	919	7790
TGCT	PAPOLG	1083	73	7983
TGCT	CPSF1	45	18	9076
TGCT	PABPC4	271	74	8794
TGCT	WDR33	310	52	8777
TGCT	SYMPK	324	108	8707
TGCT	CSTF2T	1795	137	7207
TGCT	FIP1L1	440	27	8672
TGCT	CPSF2	1141	79	7919
TGCT	CSTF2	346	40	8753
TGCT	CSTF1	876	67	8196
THCA	BRAF	309	61	687
THCA	PABPN1	34	327	696
THCA	CPSF6	251	57	749
THCA	PPP1CB	126	27	904
THCA	RBBP6	107	49	901
THCA	CPSF3	31	93	933
THCA	PPP1CA	63	317	677
THCA	PCF11	43	55	959
THCA	NUDT21	358	57	642
THCA	PABPC1	4	5	1048
THCA	CSTF3	19	195	843
THCA	CPSF7	3	9	1045
THCA	CPSF4	32	79	946
THCA	PAPOLG	201	57	799
THCA	CPSF1	18	153	886
THCA	PABPC4	4	13	1040
THCA	WDR33	4	4	1049
THCA	SYMPK	44	256	757
THCA	CSTF2T	334	49	674
THCA	FIP1L1	357	53	647
THCA	CPSF2	298	40	719
THCA	CSTF2	318	39	700
THCA	CSTF1	16	22	1019
THYM	BRAF	2387	793	6033
THYM	PABPN1	706	2741	5766
THYM	CPSF6	2269	499	6445
THYM	PPP1CB	1969	559	6685
THYM	RBBP6	1779	682	6752
THYM	CPSF3	809	2281	6123
THYM	PPP1CA	773	2239	6201
THYM	PCF11	1601	636	6976
THYM	NUDT21	1954	764	6495
THYM	PABPC1	988	108	8117
THYM	CSTF3	74	202	8937
THYM	CPSF7	1234	475	7504
THYM	CPSF4	717	2210	6286
THYM	PAPOLG	2483	754	5976
THYM	CPSF1	492	1572	7149
THYM	PABPC4	2112	685	6416
THYM	WDR33
THYM	SYMPK	693	1470	7050
THYM	CSTF2T	2004	609	6600
THYM	FIP1L1	1333	438	7442
THYM	CPSF2	1175	232	7806
THYM	CSTF2	1457	404	7352
THYM	CSTF1	455	50	8708
UCEC	BRAF	1325	414	5293
UCEC	PABPN1	255	1656	5121
UCEC	CPSF6	1729	327	4976
UCEC	PPP1CB	1075	382	5575
UCEC	RBBP6	1826	419	4787
UCEC	CPSF3	99	190	6743
UCEC	PPP1CA	343	864	5825
UCEC	PCF11	694	370	5968
UCEC	NUDT21	1616	375	5041
UCEC	PABPC1	731	160	6141
UCEC	CSTF3	126	131	6775
UCEC	CPSF7	897	328	5807
UCEC	CPSF4	172	139	6721
UCEC	PAPOLG	1648	517	4867
UCEC	CPSF1	57	93	6882
UCEC	PABPC4	688	117	6227
UCEC	WDR33	390	86	6556
UCEC	SYMPK
UCEC	CSTF2T	840	221	5971
UCEC	FIP1L1	1667	368	4997
UCEC	CPSF2	399	72	6561
UCEC	CSTF2	1395	90	5547
UCEC	CSTF1	513	64	6455
UCS	BRAF	915	252	8170
UCS	PABPN1	219	1144	7974
UCS	CPSF6	1196	407	7734
UCS	PPP1CB	31	15	9291
UCS	RBBP6	1162	368	7807
UCS	CPSF3	12	13	9312
UCS	PPP1CA	234	312	8791
UCS	PCF11	1109	225	8003
UCS	NUDT21	103	182	9052
UCS	PABPC1	43	11	9283
UCS	CSTF3	6	42	9289
UCS	CPSF7	23	34	9280
UCS	CPSF4	48	19	9270
UCS	PAPOLG	679	319	8339
UCS	CPSF1	56	304	8977
UCS	PABPC4	11	33	9293
UCS	WDR33
UCS	SYMPK	3	97	9237
UCS	CSTF2T	211	114	9012
UCS	FIP1L1	289	19	9029
UCS	CPSF2	80	5	9252
UCS	CSTF2	87	3	9247
UCS	CSTF1	22	23	9292
UVM	BRAF	226	262	7025
UVM	PABPN1	24	507	6982
UVM	CPSF6	536	192	6785
UVM	PPP1CB	214	183	7116
UVM	RBBP6	227	219	7067
UVM	CPSF3	57	83	7373
UVM	PPP1CA	264	247	7002
UVM	PCF11	302	176	7035
UVM	NUDT21	451	113	6949
UVM	PABPC1	168	86	7259
UVM	CSTF3	185	186	7142
UVM	CPSF7	7	9	7497
UVM	CPSF4	81	139	7293
UVM	PAPOLG	359	191	6963
UVM	CPSF1	22	4	7487
UVM	PABPC4	98	13	7402
UVM	WDR33
UVM	SYMPK	117	34	7362
UVM	CSTF2T	484	194	6835
UVM	FIP1L1	316	163	7034
UVM	CPSF2	417	99	6997
UVM	CSTF2	501	54	6958
UVM	CSTF1
